RunDate,RunTime,PremiseId,Year,RateClass,Strata,RecipeICap
2016-09-29,14:18,7902014016,2014,GS1,GS1,0.
2016-09-29,14:18,4922012015,2014,GS1,GS1,0.
2016-09-29,14:18,4922012015,2015,GS1,GS1,0.
2016-09-29,14:18,2802088000,2014,GS3,GS3,0.
2016-09-29,14:18,1402115058,2014,GS1,GS1,0.
2016-09-29,14:18,1402115058,2015,GS1,GS1,1.9941
2016-09-29,14:18,1442115050,2014,GS1,GS1,0.
2016-09-29,14:18,1442115050,2015,GS1,GS1,4.52015
2016-09-29,14:18,2197970015,2014,GS3,GS3,0.
2016-09-29,14:18,2197970015,2015,GS3,GS3,516.84
2016-09-29,14:18,6521009027,2014,GS3,GS3,0.
2016-09-29,14:18,6521009027,2015,GS3,GS3,139.454
2016-09-29,14:18,3870008015,2014,GS3,GS3,0.
2016-09-29,14:18,3870008015,2015,GS3,GS3,297.809
2016-09-29,14:18,0230008027,2015,GS3,GS3,133.964
2016-09-29,14:18,0370008012,2014,GS3,GS3,0.
2016-09-29,14:18,0370008012,2015,GS3,GS3,17.9517
2016-09-29,14:18,0450008018,2014,GS3,GS3,0.
2016-09-29,14:18,0450008018,2015,GS3,GS3,102.031
2016-09-29,14:18,8890009013,2014,GS1,GS1,0.
2016-09-29,14:18,8890009013,2015,GS1,GS1,0.
2016-09-29,14:18,3750008017,2014,GS1,GS1,0.
2016-09-29,14:18,3750008017,2015,GS1,GS1,11.6225
2016-09-29,14:18,3810008026 ,2015,GS3,GS3,126.899
2016-09-29,14:18,3730008011,2014,GS1,GS1,0.
2016-09-29,14:18,3730008011,2015,GS1,GS1,15.293
2016-09-29,14:18,1674008015,2014,GS3,GS3,0.
2016-09-29,14:18,1674008015,2015,GS3,GS3,13.1305
2016-09-29,14:18,0888280019,2014,GS3,GS3,0.
2016-09-29,14:18,0888280019,2015,GS3,GS3,120.095
2016-09-29,14:18,3790008019,2014,GS3,GS3,0.
2016-09-29,14:18,3790008019,2015,GS3,GS3,334.586
2016-09-29,14:18,0543170010,2014,GS3,GS3,0.
2016-09-29,14:18,0543170010,2015,GS3,GS3,325.215
2016-09-29,14:18,9845065026,2014,GS1,GS1,0.
2016-09-29,14:18,9845065026,2015,GS1,GS1,7.21192
2016-09-29,14:18,8470007033,2014,GS1,GS1,0.
2016-09-29,14:18,8470007033,2015,GS1,GS1,8.58362
2016-09-29,14:18,2116006030,2014,GS3,GS3,0.
2016-09-29,14:18,2116006030,2015,GS3,GS3,0.569969
2016-09-29,14:18,5532390065,2014,GS1,GS1,0.
2016-09-29,14:18,5532390065,2015,GS1,GS1,2.16364
2016-09-29,14:18,9265764019,2014,GS1,GS1,0.
2016-09-29,14:18,9265764019,2015,GS1,GS1,59.923
2016-09-29,14:18,1118134018,2014,GS3,GS3,0.
2016-09-29,14:18,3046072005,2014,GS3,GS3,0.
2016-09-29,14:18,3046072005,2015,GS3,GS3,21.0443
2016-09-29,14:18,9461166039,2014,GS1,GS1,0.
2016-09-29,14:18,9461166039,2015,GS1,GS1,5.19258
2016-09-29,14:18,4489407001,2014,GS1,GS1,0.
2016-09-29,14:18,4489407001,2015,GS1,GS1,10.4222
2016-09-29,14:18,9192032017,2015,GS3,GS3,19.0513
2016-09-29,14:18,3770008013,2014,GS3,GS3,0.
2016-09-29,14:18,3770008013,2015,GS3,GS3,26.022
2016-09-29,14:18,0390008018,2014,GS1,GS1,0.
2016-09-29,14:18,0390008018,2015,GS1,GS1,0.
2016-09-29,14:18,1875133002,2014,GS1,GS1,0.
2016-09-29,14:18,1875133002,2015,GS1,GS1,1.24346
2016-09-29,14:18,3917409005,2014,GS3,GS3,0.
